din­ing	!din­ing/JJ NN
rotator	VV CD NN IN NN !rotator/NN JJ NN NN
m12	VV CD NN IN NN !m12/NN NP CD JJ NN NN NN
plated	RB VV IN CD NNS IN !plated/JJ NN
travelrest	CD NN IN !travelrest/JJS DT JJ NN NN
yarn	CD NN IN NNS JJ !yarn/NN NNS NN NN NN
dhp	CD NN IN !dhp/NN NN NN JJ NN NN
cloudbook	VV CD NN IN NNS VV CD !cloudbook/NN CD NN
$89.97	IN !$89.97/JJ
papa	!papa/NN NNS NP NP NN NNS
potion	VV CD CD NN IN NN !potion/NN NN
estrologic	NN VV CD NN IN NNS NN !estrologic/NN
meadow	VV CD NN IN JJ NN !meadow/NN JJ NN NN
sensational	CD NN IN JJ JJ VV VV !sensational/JJ NN
6.5	VV NN NNS NN VVG NN NN !@card@/CD CD NNS IN NN
soprano	VV CD NN IN JJ !soprano/NN NN CD
pioneer	VV CD NN IN !pioneer/NN NN NN
warrens	!warren/NNS
8-pack	!8-pack/JJ IN NN IN JJ NN
dining	!dining/NN
geox	!geox/NN
maid	NN !maid/NN NN NN
tutti	!tutti/JJ NN NN NN NN
rockland	CD NN IN !rockland/NN NN VVG NN NN
$27.99	NN NN NN IN !$27.99/NN
stovetop	VV CD NN IN CD DT CD NN NN !stovetop/NN NN
$205	NN !$205/NN
essences	NN IN JJ !essence/NNS
aoc	!aoc/NN
mk808	JJ !mk808/JJ NNS JJ CD NN NN NN IN NN
$34.87	VV NN NN JJ NN CC VV JJR IN !$34.87/JJ
jawbone	VV RB TO CD NN IN !jawbone/NN NN NNS
build-a-house	VV CD NN IN JJ NNS !build-a-house/NN NNS NN
musical	VV CD NN IN NN NN NN NN VVP !musical/JJ NN
swirl	VV CD NN IN NN NN CD NN !swirl/NN NN NN NN
tender	VV CD NN IN DT JJ JJ VVN NN IN DT !tender/NN
7-inch	VV CD NN IN NP NP NN !7-inch/JJ VVG NN NN
handmade	CD NN IN JJ !handmade/JJ NN
2-day	NN NNS NN !2-day/JJ NN NNS NN NN SYM IN RB TO JJ CD NN RP
reel	VV CD NN IN NN NN JJ NN !reel/NN
schaeffer	CD NN IN NN !schaeffer/NNS JJ NN NN
carat	CD !carat/NN JJ
little	VV CD NN IN JJ !little/JJ NNS VVG NNS NN NN NN
wave	CD NN IN NN !wave/NN JJ NN
savings	NP NP JJ JJ !saving/NNS NNS NNS IN JJ NN
mitaki	VV !mitaki/NP NP
urreal	VV CD NN IN !urreal/JJ NNS NN
$48	VV NN NN JJ TO VV NN IN RB !$48/JJ
body	!body/NN VVZ NN NNS
last-minute	JJ NN CD NNS !last-minute/JJ NNS NN
simmons	!simmons/NNS NN NP NP NN NN VVN IN NP SYM CD NN JJ NN SYM JJ CD NN CD NN IN NP NN
kenmore	!kenmore/RB JJ NN IN JJ
aquadiver	VV CD NN IN VVG JJ NP !aquadiver/NN NN NN NN
dressing	NN !dress/VVG CD IN NN
lot	VV JJ !lot/NN JJ JJ NN NN NN NN NN NN NN
tonights	VV CD NN NN CC CD NNS NNS TO !tonight/NNS NN IN DT NN VVZ
plate	NN !plate/NN JJ NN
clamp	CD NN IN JJ NN !clamp/NN
safeway	!safeway/NN
com	!com/NN
tuk	NN NN NNS VV CD NN IN NN !tuk/NN NN NN NN
abbott	CD NN IN !Abbott/NP
adventures	DT JJ !adventure/NNS
busters	VV CD NN RB SYM NN !buster/NNS
multi-use	VV CD NN IN NN NN NN NN SYM CD NN IN JJ NN NN JJ !multi-use/NN JJ NN NN
fabulous	VV CD NN IN RB !fabulous/JJ
bvlgari	!bvlgari/NN NN VVP DT NN
in-store&	NN NN JJR !in-store&/NN JJ
552	NN NN !@card@/CD NNS IN NP SYM JJ NN
originals	CD NN IN DT !original/NNS
leg	VV CD NN IN NN NN NN NN !leg/NN NN NNS
magnum	VV CD NN IN !magnum/NN JJ NN
vehicles	VV CD NN IN NN NN JJ !vehicle/NNS NN NN
jolly	VV CD NN IN !jolly/JJ NN NN NN
steam/	VV CD NN IN NP NN !steam//NN NN NN
corsair	CD NN IN JJ !corsair/NN NNS
frost	VV DT !frost/NN JJ NNS IN JJ NN
octagonal	VV CD NN IN NN NN NN !octagonal/JJ JJ NN NN NN
12-13	NN !@card@/CD
cents	VV DT NN IN CD !cent/NNS
shake	JJ IN JJ NN !shake/NN
sabe	!Sabe/NP CD NN IN JJ NN IN VV NN
stone	VV CD NN IN JJ JJ NN NN VV JJR JJ !stone/NN
lounge	VV CD NN IN NN NN VVN NP NN !lounge/NN
sam	VV CD NN IN JJ NP NNS IN !sam/NN NN
classics	VV CD NN IN JJ NNS NN !classic/NNS NNS
$339.99	IN !$339.99/NN
q	VV CD NN IN NN !q/NN NN
liner	NN JJ !liner/NN NNS
corps	VV PP$ JJ NN IN JJ FW !corps/FW
33	!@card@/CD NN IN NN
s1	CD NN IN NN !s1/NN SYM NN
armour	VV CD NN IN IN !armour/NN NN NN NN
+body	NN NNS CD IN NN CC CD IN NP SYM IN NN IN JJ NN IN NN !+body/NN NN
wp	CD NN IN NP JJ !wp/NN NN VVG NNS
blizzard	VV CD NN IN NP NP !blizzard/NN JJ VVG NN NN
splash	CD NN IN JJ NNS !splash/NN NN NNS NN
nanaimo	NNS NN CD NNS IN VVG CD NN IN NN NN CC !nanaimo/NN NN NNS
16oz	!16oz/NP
4-bank	CD NN IN NN NN NN JJ NP JJ !4-bank/JJ JJ NN NN CC NN
9-by-5-1/	VV CD NN IN NP NP !9-by-5-1//JJ JJ NN NN IN JJ JJ NN NN NNS
snackin	VV CD NN IN NN JJ JJ !snackin/NN NN
nydj	VV NN IN JJ NN IN !nydj/NN
bonanza	NN NN JJ NN !bonanza/NN NNS
europe	DT NN CC !europe/NN
geo	VV CD NN !geo/NN NN NN JJ IN NN IN NN
cosco	VV CD NN IN NP NP JJ NN SYM CD NN IN !cosco/NP JJ NN NN JJ NN NN NN SYM CD NN IN NN JJ JJ NN
onwomens	VV CD NN !onwomens/NNS JJ NNS
locations	JJ NNS IN DT NN NN !location/NNS IN NN
upon	CD IN RB !upon/IN DT NN
tru-fit	!tru-fit/NN NN NNS CC JJR NNS
orbit	CD NN IN !orbit/NN NN
amanda	RB TO CD NN IN NN NN NNS IN !amanda/NN VVD
back-to-school	MD NP !back-to-school/NN NNS
cheyenne	VV CD NN IN !cheyenne/NN
gu	VV NN NN !gu/NN NN NN NN NN IN NN NN NN JJR CC NN NN IN NN
yu-gi-oh	VV CD NN !yu-gi-oh/NN
channel	DT NN !channel/NN NN NNS
carpet	VV CD NN IN JJ JJ JJ !carpet/NN
foosball	CD NN IN JJ !foosball/NN NN
tableware	VV CD NN IN JJR !tableware/NN IN NN
cottonelle	VV CD NN IN !cottonelle/JJS CD JJ NNS NN NN
babydoll	CD NN IN !babydoll/NN NN JJ NN NN NN NN VVD
$7.99	NN NN NN IN !$7.99/NN
variable	NN !variable/NN NN NN NN
wide	VV CD NN IN NP CD NN JJ NN CD !wide/JJ NN NN NN
crossover	JJ NN !crossover/NN NNS VVP IN NN NN NN IN NN
folio	VV CD NN IN JJ JJ !folio/NN IN NN CD JJ NN
right@home	!right@home/NN NN VVN NNS IN NN NN IN NN NNS NN
city	VV CD NN IN NN !city/NN JJ NNS NN NN
ybike	VV CD NN IN !ybike/NN NNS VVP IN NN CC VVG NN
lips	VV NN IN DT JJ JJ JJ !lip/NNS NN
on	VV CD NN !on/IN NN
extras	!extra/NNS
masterpass	VV NN IN PP$ JJ NN IN NN WRB PP VVP IN !masterpass/NN
$22.49	JJ NN IN !$22.49/NN
magnetic	VV CD NN IN NN NN !magnetic/JJ NN VV VV NN
releasing	VV RB TO CD NN IN NNS CC NN NNS !release/VVG DT NN
starfrit	CD NN IN !starfrit/NN VVD JJ JJ NN VV
vanity	VV CD NN IN NN VVG JJ JJ !vanity/NN NN
payne	NN !Payne/NP CD SYM NN NN IN NN
candles	JJ !candle/NNS
$227	DT !$227/JJ NN
$8.50	!$8.50/NN IN JJ NNS
naples	VV CD NN IN NN NN !naples/NNS VVG NN
nurse	JJ NN IN JJ !nurse/NN NN
photo	VV CD NN IN NN NN !photo/NN NN IN NN
bb	!bb/NP
steakhouse	NN NN NN IN NN JJ NN !steakhouse/NN
32-inch	VV CD NN IN NNS !32-inch/JJ CD VVD JJ NN
jerrys	!jerrys/NP NP NNS
loveseats	!loveseats/NNS IN NN
optical	NNS !optical/JJ NP JJ NN NN
game	!game/NN NNS IN NN JJ TO JJ
bacon	!bacon/NN
pepper	!pepper/NN NN NN NN SYM CD NN JJ NNS NN NN NN NN NN
app	NNS VVD PP$ NNS !app/VVG JJ NNS
willy	VV CD NN IN !willy/JJ NN CC DT NN NN JJ NN JJ NNS NN
scoops	NP !scoop/VVZ CD NN RP
deal	WP V.* J.*=;valid,;redeemable,;in-store,;safe IN=:to,:from DT J.* !deal/NN
hill	VV CD NN IN CD NN !hill/NN
non-iron	VV CD NN IN NN NNS JJ !non-iron/NN NN NN
starwatcher	CD NN IN NN !starwatcher/NN JJ NN NN SYM JJ NN
lets	VVP !let/VVZ VV JJ NN
traverse	VV CD NN IN NN NN !traverse/JJ NN
anklestrap	VV NN NP NP !anklestrap/NN JJ NN NN
chairs	VV CD NN IN NNS VVG !chair/NNS
cpu	VV CD NN IN NP JJ NN NN JJ NN NN NN !cpu/NN JJ NN CD NN NN JJ NN VVD
$249	VV !$249/NN IN NN CD NN JJ NN
84	VV !@card@/CD NN IN DT NN IN DT NN
barney	VV CD NN IN !barney/NN NN
elephant	CD NN IN NN !elephant/NN NN
minds	VV CD NN IN JJ !mind/NNS
more+	NNS CC !more+/JJ JJ NN IN DT NNS
rail	IN !rail/NN NN NN NNS NNS
selecttech	NN !selecttech/NN CD NNS IN NP SYM JJ NN
music	VV CD NN IN NN VV CD NN SYM !music/NN NNS NN NN SYM NN NN NN SYM NN NN
$3.95	!$3.95/JJ DT
fabricville	!fabricville/NP NP JJ NN NN
colossal	VV NN IN NNS JJ !colossal/JJ NNS
facial	CD NN IN NNS !facial/JJ NN
heroes	CD NN IN NN !hero/NNS NNS NN NN NN NN NN NN NN
$100	VV !$100/NN VV JJ NN NN VVP CD NN NNS SYM NNS NNS
nevel	VV CD NN IN NN VVG !nevel/JJ JJ NN NN
lingerie	!lingerie/NN
oasis	VV CD NN IN JJ JJ !oasis/NN NN NN
petsafe	CD NN IN !petsafe/JJ JJ NN NN
5-port	VV CD NN IN NN !5-port/NN NN NN NN IN NN NN
precision-temp	NN CD NN !precision-temp/NN JJ NN NN NN IN NN
ps3	VV !ps3/JJ NN NN JJ IN NN
santa	VV WP PP VVP IN !santa/NN NN NN
skillet	NN JJ !skillet/NN
lind	VV NN !lind/NN NP VVG NN IN NP
quest	VV CD NN IN !quest/NN JJ NN NN NN NN NN
surplus	!surplus/JJ JJ NN NN IN NP
tomtom	CD NN IN !tomtom/NN VVP NNS NN
tvs	JJ NNS IN !tvs/NNS
umbrellas	CD NN IN JJ JJ NN !umbrella/NNS
6.0	JJ NN !@card@/CD NN NN JJ NN IN NN
crush	!crush/NN
annettes	VV CD !annettes/NNS NNS VVP PP JJ
culturelle	VV NN IN !culturelle/NN
bin	CD NN NN CD VVZ NN !bin/NN
portion	VV NN NN !portion/NN NNS
ring	VV CD NN IN !ring/NN NNS VVD JJ NN
sausage	!sausage/NN
sidewalk	CD NN IN JJ NN !sidewalk/NN NN
50mm	NN NNS JJ !50mm/NP NN JJ NN IN NN
eleven	!eleven/NN NN NN
strokes	CD NN IN JJ !stroke/NNS
world	VV CD NN IN NN VVZ !world/NN
joe	!jo/NN JJ NN NNS
$150	VV NN WRB PP VVP !$150/NN
decor	!d_ecor/NN
encasement	VV CD NN IN NN NN NN VVD JJ NN !encasement/NN NN
gothem	NP NP VVZ !gothem/NN NNS JJ TO DT NN IN JJ NN
$22.99	NN NN NN IN JJ !$22.99/NN
novelties	NN CC !novelty/NNS
pre-boxing	RB CD NN !pre-boxing/JJ NN NNS
waist	NN JJ !waist/NN NNS NN CD VVP CD CD NN RP
pitcher	CD NN IN NP NNS CD NN JJ NN !pitcher/NN
nick	CD NN IN !nick/NN NN
wxga	VV CD NN IN NN NN NN CD NN !wxga/NN CD NNS
extar	VV CD NN SYM !extar/NN CD NN IN JJ NN NN NN IN JJ JJ NN IN NN NN
ipad	NN IN NN !ipad/NN NP CD NN NN
$2.04	VV !$2.04/NN IN JJ NN CC JJ NNS NN
marenja	CD NN IN !marenja/NN NNS NN
makebreak	!makebreak/NN JJ NN NN
opportunity	NN JJ NN JJ NN !opportunity/NN
$35.98	VV NN NNS NN JJ NN NN NN NN IN !$35.98/NN
to	VV RB !to/TO CD NN IN JJ NNS
modes	VV CD NN IN NN !mode/NNS VVP NN NN
further	!further/JJR NNS
lagostina	!lagostina/NP
industrial	NN !industrial/JJ NN JJ NN NN
$3.90	VV CD NN IN NNS NN NNS SYM NN IN !$3.90/NN
push-up	NN !push-up/NN
in-	VV CD NN JJ NN CC CD NN !in-/NN NN NP CD
look	CD NN IN NN JJ !look/NN NN NN NN VVD JJ JJ NN
11.99	!@card@/CD IN JJ NN IN CD NNS
johns	NN !john/NNS NP NP NN NNS
calcium	NN !calcium/NN NNS
fullmetal	NN NN NNS VVP VV CD NN !fullmetal/JJ NN DT JJ NN
poweradd	VV JJ IN !poweradd/JJ NN NNS
palette	VV CD NN IN JJ NN NNS NN NN NP !palette/NN NN NN
10-20	JJ !@card@/CD NN IN JJ JJ NNS
12v	CD NN IN NN NN NN JJ !12v/NP JJ JJ JJ NN NN CC NN
furnished	VV CD NN IN NN DT NNS NNS JJ NN NN !furnish/VVN IN NNS
$43	VV RB CD NN NN NN IN NN NN IN !$43/NN CC JJR
7-eleven	!7-eleven/JJ NN NNS
mixer/	VV CD NN IN NN CD SYM CD NN CD NNS !mixer//JJ NN NN
shimmer	VV CD NN IN NN !shimmer/NN NN NN
shippuden	CD NN IN NN !shippuden/NNS JJ VVD CD NN
silex	VV NN !silex/NN JJ JJ NN IN RB JJ
gc	!gc/NN
madness	NN !madness/NN NN
mailboxes	NN NN NNS NNS VV RB TO CD NN IN !mailbox/NNS
sylvania	VV CD NN IN !sylvania/NN CD NN SYM CD NN IN NN VVP
hydrangea	VV NN RB RB IN PP$ NN IN DT JJR !hydrangea/NN
top-sider	NN !top-sider/JJR NN NN IN RB JJ
tr955	VV DT NN !tr955/NN NN IN NN IN CD NN
giraffy	CD NN IN JJ JJ !giraffy/NNS
viveres	VV CD NN IN !viveres/NNS NN JJ NN IN NN
dt	VV NN NN !dt/NP VVG NN IN NP
rca	VV CD NN IN !rca/NNS JJ CD VVD JJ NN
floral	VV CD NN IN JJ !floral/JJ NN NN NN
emporium	VV CD NN IN CD NNS NNS !emporium/NN NN NN NN NN NN CD
imaginext	VV CD NN IN JJ !imaginext/NN NN NN NN NN
nelson	CD NN IN !nelson/NN CD NN VVG NN
lovely	VV NN IN DT JJ JJ !lovely/JJ NNS NN
snowblower	CD NN IN CD CD NN NN JJ NN !snowblower/NN
leapfrog-leaph	VV CD NN IN VV NN DT JJ NN NN CD NN IN !leapfrog-leaph/NN JJ NN NN
t-series	VV CD NN IN NN NN !t-series/NNS JJ NN CC JJ NN
session	VV CD NN IN NN NN !session/NN NN NN
waterproofing	JJ !waterproof/VVG NN IN NN
corningware	NN IN !corningware/JJ NN NN NN
hilton	!hilton/NN NNS NNS
lavatory	VV NN NN CD VVP !lavatory/NN NN
woods	NN !wood/NNS NN NN NN NN
$83.70	NN CD NN NN CC JJR IN !$83.70/NN
gas	CD NN IN NN NN JJ JJ !gas/NN NN
eddie	!Eddie/NP NP NP CD NN NN
9.99	NN NN NN NN JJ IN JJ IN $ !@card@/CD
carrying	VV NNS NNS NN CC !carry/VVG NN JJ IN DT NNS IN NNS
teardrop	VV CD NN IN NN NN VVD NN !teardrop/NN NNS
title	!title/NN
tyrannosaurus	VV CD NN IN NN !tyrannosaur/NN NN
using	JJ NN DT NN !use/VVG NN NN NN
want	VV WP PP !want/VVP IN CD NNS
500gb	VV CD NN IN NN CD PP !500gb/NP VV NN NN IN NN
plasma	JJ !plasma/NN NN IN NN
wrote	PP !write/VVD
limired	NN NN NN NNS !limired/JJ NN NN NN
360	VV CD NN IN NN NN !@card@/CD NN IN NNS
cinnabonstix	!cinnabonstix/NP
day-2	RB CD NN NN JJ NN !day-2/JJ NP NN NN
shrub	VV NN IN NN IN DT NN CC !shrub/NN IN NN
dlts	CD !dlts/NNS JJ IN RB JJ
subway	!subway/NN NN NN
sundae	JJ IN JJ !sundae/NN NN
tx	VV CD NN IN JJR !tx/NN NN NN NP CD NN NN NN CD
enfamil	VV NN IN DT NN IN !enfamil/NN NN
kiddie	VV CD NN IN NN !kiddy/NN NN
blitzing	IN NN NNS !blitz/VVG CD NN IN JJ NN
sails	CD NN IN JJ !sail/NNS NN CD NN
wkrp	VV CD NN IN !wkrp/NP IN NP
akg	!akg/NN NN NN IN JJ
camo	CD NN IN NN !camo/NP NP NN
starbuck	!starbuck/JJ NN NNS
sealy	VV CD NN IN !sealy/JJ NN NN
pre-made	VV CD NN SYM NN CD NN IN JJ NN NN NN IN !pre-made/JJ JJ NN IN NN NN
samplicious	NN NN NN !samplicious/NNS RB JJ
skywalker	VV CD NN IN !skywalker/NN NNS NN NN
30cm	CD NN IN NN !30cm/JJ JJ NN NN JJ
emergency	VV CD NN IN !emergency/NN
ready-to-hang	CD NN IN !ready-to-hang/NN NNS
multi-cyclonic	NN CD NN NN JJ !multi-cyclonic/JJ JJ NN IN JJ
telescoping	VV CD NN IN NP CD !telescope/VVG NNS VVG JJ NN NN
jamie	VV !jamie/NN JJR IN NN JJ NN NN VVN IN NN JJ JJ NN IN RB JJ
mid-season	NN NN !mid-season/NN NN
knights	CD NN IN NP NP !knight/NNS CD NNS VVG NN
three	JJ !three/CD NNS
multi-function	VV CD NN IN CD NNS JJ VVG !multi-function/NN VVD
17-pc	VV CD NN IN NP !17-pc/NP NN NN NN
price	VV CD NN IN DT NNS IN NN !price/NN
yourself	VV NN CC !yourself/PP
$6.49	VV NN NN IN !$6.49/NN
53	VV !@card@/CD NN IN NN NN NN
beads	VV CD NN IN JJ NN JJ !bead/NNS
sarto	NN !sarto/NN
marvels	!marvel/NNS DT NNS JJ NN IN NN
$89.98	JJ NN VVN !$89.98/NP CD NN RP
bodykiss	JJ NN NN NN IN DT !bodykiss/JJ NN NN
ivory	NN CC !ivory/NN NN NNS
unplugged	VV NN IN !unplug/VVN NN NN
favorites	VV CD NN IN PP$ !favorite/NNS
$88.88	!$88.88/NN IN DT NN JJ NN NN NN RB
multigrain	VV JJ JJ NNS !multigrain/NN NNS IN NNS
vacs	VV CD NN IN NN JJ JJ !vac/NNS NN NN JJR
drafting	VV CD NN IN NN VV !draft/VVG NN
stepladder	VV CD NN IN NN NN NN !stepladder/NN
$99.00	NN IN !$99.00/NN
$7.00	CD IN !$7.00/NP SYM VVN NN
larssons	VV CD NN NN !larssons/NNS NN NN NN
psu	NN NN JJ !psu/NN IN NN
psych	VV CD NN IN !psych/VV
75150	VV CD NN IN NN NNS NN VVD NP NP NN !@card@/CD NN NN
stearns	VV NN IN !stearns/NNS
$224.46	!$224.46/NN
deep	VV CD NN IN NP JJ JJ NNS JJ !deep/JJ NN
vintage	VV CD NN IN NN !vintage/NN NN
canadatodays	NNS !canadatodays/NNS NNS
sabra	VV NN IN !sabra/NN NN
hoth	!hoth/NN NN
pillowcases	!pillowcase/NNS
pharmaprix	NNS NN NN SYM !pharmaprix/NN NN NNS NN JJ NN NNS NN NN NNS
ufile	!ufile/NN CC NN NN IN NN
gently	CD NN IN NN !gently/RB NN CD
pay-as-you-go	NNS !pay-as-you-go/JJ
9-inch	VV JJ !9-inch/JJ NN JJ NN NN IN RB JJ
email	JJ !email/NN NN SYM JJ NN NNS
4-day	JJ NN SYM !4-day/JJ NN NN NN
diet	!diet/NN
outdoor	!outdoor/JJ NN NN
fire	VV CD NN IN NN NN !fire/NN NN NN
snack	VV !snack/NN NN
priced	VV CD NN IN JJ !price/VVN NNS
spy	VV CD NN IN NN !spy/NN NN NN JJ NN NN
shavers	VV CD NN IN DT JJ !shaver/NNS
$69.94	VV NN IN NN NN NN RB IN RB !$69.94/JJ
not	CD NN RB VVP !not/RB VV PP VHP NN
8-tier	VV CD NN IN NN JJ !8-tier/JJ NN CC NN NN
autumn	!autumn/NN NN
240tc	VV IN JJ NN !240tc/JJ JJ NNS IN NN
cycle	VVP JJ !cycle/NN
feeder	VV CD NN IN NN CD NNS NN NN !feeder/NN
royale®	VV NN IN !royale®/JJ JJ NN NN
at-home	VV CD NN IN PP$ JJ !at-home/NN NNS
doorcrashers	NN NN !doorcrashers/NNS RB TO CD NN RB SYM JJ NN
leftovers	CD NN IN DT !leftover/NNS
sectional	VV CD NN IN NN NN JJ NN NN !sectional/JJ NN IN NN
ifetch	CD NN IN !ifetch/NN JJ NN NN IN NNS
booster	CD NN IN NN NN !booster/NN NN
choose	VV CD NN NN NNS !choose/VVP IN JJ
your	VV CD NN IN !your/PP$ JJ NN
magnification	VV CD NN IN NP VVD JJ NN NN IN NN !magnification/NN
gifted	CD NN IN !gifted/JJ NN
packages	NN !package/NNS
zehrs	!zehrs/NNS NNS NNS
klack	NN !klack/NN NN IN NN JJ
$71.99	NP NP NP JJ NN NN IN !$71.99/NN
sanguinelli	JJ !sanguinelli/NN NN
go-kart	VV CD NN IN NP NN JJ JJ NN !go-kart/NN
mutant	VV CD NN IN JJ !mutant/JJ NN NNS
duraceramic	VV CD NN IN NN NN !duraceramic/JJ JJ JJ NN
pyragon	VV CD NN IN NP NN !pyragon/NN NN
great	NN NN !great/JJ JJ NN NN
greek	NN NN JJ NN IN NN !Greek/NN
mcdonalds	!Mcdonalds/NP NP JJ NNS
controller	CD NN IN NN NN NN VVN !controller/NN
yizhou	CD NN !yizhou/NN NN NN NN NN
kingsman	CD NN IN !kingsman/NP CD DT JJ NN NN
5-speed	VV CD NN IN JJ !5-speed/JJ NN NN
8.0	CD NN IN NP NN !@card@/CD NN
brite	NN !brite/NN NN NN NN
anais	VV CD NN IN NP SYM !anais/NN
plush	NN NN !plush/JJ JJ NN NN
loreal	CD NN IN !loreal/JJ NNS
$6.80	NN IN !$6.80/NN
reciprocating	CD NN IN NP NP NN NN NN !reciprocate/VVG NN NN
300w	CD NN IN NN !300w/JJ VVD VV NN IN NN NNS
s	NN NN !s/PP JJ NN IN NN
$92	VV NN JJR IN NN JJ NN NN VVN IN NN JJ JJ NN IN RB !$92/JJ
henckel	JJ JJ JJ JJ !henckel/NN JJ NN VVN IN CD NN RP
triggerpoint	VV CD NN IN !triggerpoint/NN NN NNS
cooker	CD NN IN JJ NN JJ JJ NN !cooker/NN
chunky	VV CD JJ NN NN !chunky/JJ JJ NN
disk	JJ JJ JJ !disk/NN NN JJ IN NN
being	VV CD NN IN VBP PP !being/VBG VVN
jackson	VV CD NN IN !jackson/NN NN NN NN VVG VVG NN
$4.38	IN !$4.38/NN
matlock	VV CD NN IN !matlock/NN
buggy	NN IN NN !buggy/JJ NN NNS
vertuoline	CD NN IN NN NN !vertuoline/NN IN NP CD
5-9pm	VV CD NN !5-9pm/NN NN
iced	!iced/JJ NN
guide	VV CD NN IN JJ NN JJ JJ NN CD CC JJ !guide/NN NN JJ JJ NN
projects	JJ !project/NNS
rocky	VV CD NN IN !rocky/JJ
$40.00	VV NN IN !$40.00/NN IN JJ NN NNS
marcelle	!Marcelle/NP NP NNS
saturdays	NNS NN NN !Saturday/NNS NN
$8.78	JJR JJ JJ NN IN !$8.78/NN IN NN
senior	!senior/JJ CC NN
toningt	VV CD NN IN NN IN CD CD NN !toningt/NN
mcfly	RB JJ IN !mcfly/NN NN NN NN NN
monsters	VV CD NN IN JJ JJ !monster/NNS
else	VV CD NN IN DT NN SYM CD NN IN NN !else/NN SYM JJ NN IN DT NNS
emmett	VV CD NN IN NN !emmett/NN JJ NN NN JJ NN IN NN
retractable	VV CD NN IN NN NN !retractable/JJ NN NN
sssd	NP CD NN JJ !sssd/NN IN NN
airfryer	CD NN IN JJ !airfryer/NN
+	JJR NNS !+/SYM NNS NNS
combined)+	!combined)+/NN CD NNS SYM CD NNS IN JJ NN
vaders	VV CD NN IN NN !vaders/NNS NN VVD NP NP NN CD NN NN
key	VV CD NN IN JJ NN NN !key/JJ TO PP$ NN CD NN NN NP
wang	NN !wang/NN NN NN
comic	JJ !comic/JJ NN NN VBZ RB JJ
uncharted	JJ IN NN CD !uncharted/JJ CD NN NN IN DT NN
turtle	VV CD NN IN JJ NNS !turtle/NN NN
chisel	VV CD NN IN NN NN VV VV NNS !chisel/VV NN
schneiders	!schneiders/NNS NN NNS
barbell	VV CD NN IN NN !barbell/NN NN NN JJ NN
products	NN !product/NNS
brother	CD NN IN !brother/NN NN NN
epilators	!epilators/NNS
sandwiches	VVP CD JJ !sandwich/NNS
cut	JJ JJ !cut/NN NNS
20x	VV !20x/JJ DT NN JJ NNS SYM CD NN NNS NNS
wirebound	CD NN IN NN NN !wirebound/JJ NN
%25	VV !@card@/CD NN IN NNS IN JJ NP NN NNS
james	VV CD NN IN DT !james/NNS NN NN SYM NN
pc-connectable	CD NN IN NN !pc-connectable/JJ VVG NN
oil-less	JJ NN !oil-less/JJ NN
kelseys	!kelseys/NNS NN NNS NN NN
manzanita	NN IN NN NN NN !manzanita/NP CD NN NN
chapmans	!chapmans/NNS NN NN NN NNS
rate	CD NN IN NN NN CD NN !rate/NN CC NN NN
as	NNS !as/IN JJ IN NN
cremes	VV CD NN IN DT NN NN !creme/NNS
cofee	!cofee/NN CC NN IN NNS IN JJ NN
$1.89	VVP VVZ CC NN IN !$1.89/NN DT
loops	CD NN IN NNS NN !loop/NNS NN JJ JJ NN
dhotel	CD NN IN NN NN !dhotel/NN NNS
minimun	DT !minimun/NN
recordable	!recordable/JJ NN IN NN NN
15th	!15th/JJ NN NN
krups	VV CD NN IN !krups/NNS JJ NN CC NN NN
bloks	CD NN IN JJ !bloks/NNS
6-quart	VV NN IN NP NP !6-quart/NP VVD NN NN NN IN NN
tile	JJ NNS !tile/NN NNS CC NNS VVP
covers	VV CD NN IN DT NN !cover/VVZ
kinden	!kinden/JJ NN NN JJ NN IN NN JJ IN NN
clorox	!clorox/JJ JJ NNS
drum	CD NN IN NN JJ NN !drum/VV NN
l&l	VV NN NN CC !l&l/NN NNS RB IN NN DT
things	!thing/NNS TO VV
arthritis	NN !arthritis/NN NN
sipping	JJ NN NNS SYM JJ !sip/VVG
charmant	CD NN IN DT NN NN !charmant/NN VVG NN
business	NP NP JJ !business/NN NN JJ NN NNS SYM NN NN CD CD
crashers	VV CD CD NN RB SYM NN !crasher/NNS NN
$379	!$379/NN IN NN NN NP CD NN NN
hug	NNS !hug/NN FW NN NN
minibon	VV JJ NN !minibon/NN IN NN NN SYM CD NN IN NNS
george	CD NN IN !george/NN RB NN CD
loves	CD NN IN NN !love/VVZ JJR
chia	VV NN IN NN JJ !chia/NN NNS CC NN NN NN
drink	!drink/NN
extender	VV CD NN IN JJ NN NN SYM NN !extender/NN NNS
frog	JJ !frog/NN NN IN NN IN DT NN NN IN DT NN NNS
shop	JJ !shop/NN
tunics	CD NN IN !tunic/NNS
inflation	VV CD NN IN NP NP NN !inflation/NN NN
jolie	VV CD NN IN NN NP JJ !jolie/NN NN
war	NN IN !war/NN IN NN CD
$13.25	CD NN IN DT NN SYM CD MD VV NN NN IN !$13.25/NN
jalapeno	NN !jalapeno/NN NN NN IN RB JJ
tanjay	VV CD NN IN !tanjay/NP
danby	VV CD NN IN !Danby/NP NN NN NN
lockitz	CD NN IN JJ !lockitz/NN JJS NN NN NN NN
rivo	!rivo/NN NN NN SYM CD NN NN IN NN NNS
krk	VV CD NN IN !krk/NN NN NN
